feature_set;Q1##matthews_corrcoef;Q1##precision;Q1##precision_weighted;Q1##recall;Q1##recall_weighted;Q10##matthews_corrcoef;Q10##precision;Q10##precision_weighted;Q10##recall;Q10##recall_weighted;Q2##matthews_corrcoef;Q2##precision;Q2##precision_weighted;Q2##recall;Q2##recall_weighted;Q3##matthews_corrcoef;Q3##precision;Q3##precision_weighted;Q3##recall;Q3##recall_weighted;Q4##matthews_corrcoef;Q4##precision;Q4##precision_weighted;Q4##recall;Q4##recall_weighted;Q5##matthews_corrcoef;Q5##precision;Q5##precision_weighted;Q5##recall;Q5##recall_weighted;Q6##matthews_corrcoef;Q6##precision;Q6##precision_weighted;Q6##recall;Q6##recall_weighted;Q7##matthews_corrcoef;Q7##precision;Q7##precision_weighted;Q7##recall;Q7##recall_weighted;Q8##matthews_corrcoef;Q8##precision;Q8##precision_weighted;Q8##recall;Q8##recall_weighted;Q9##matthews_corrcoef;Q9##precision;Q9##precision_weighted;Q9##recall;Q9##recall_weighted
content-Word2vec;0.0908228989855159;0.367231638418079;0.632569265689505;0.246212121212121;0.667023554603854;0.265208461072905;0.669710806697108;0.651884651274759;0.369127516778523;0.645703839122486;0.12901304306009;0.322727272727272;0.71255217005217;0.269961977186311;0.729365079365079;0.133945941006075;0.396887159533073;0.654553564600558;0.285714285714285;0.682170542635658;0.137877638924005;0.328358208955223;0.720202363889336;0.268292682926829;0.738589211618257;0.150675965965354;0.433884297520661;0.650320592833961;0.284552845528455;0.681240063593004;0.0781780999837326;0.33203125;0.643904026930894;0.247093023255813;0.672256097560975;0.19584396387523;0.539007092198581;0.6410189822154;0.302788844621513;0.665116279069767;0.145573996944441;0.471428571428571;0.620591890347585;0.295632698768197;0.649089529590288;0.22820877903494;0.599250936329588;0.649149833795901;0.312805474095796;0.66348623853211
content-BERT;0.197823643640832;0.45037037037037;0.639750583805987;0.573584905660377;0.612589227774172;0.352884964800277;0.658326143226919;0.683180035912753;0.574115876598946;0.685620915032679;0.236041159662546;0.42463768115942;0.690323706331506;0.548689138576779;0.659369994660971;0.208318377598634;0.43780487804878;0.654820413093994;0.57717041800643;0.621536853110297;0.208068237654007;0.373806275579809;0.698682632790944;0.564948453608247;0.640171858216971;0.200251606163832;0.467969598262757;0.632735970240442;0.576203208556149;0.611271676300578;0.210415209742387;0.439751552795031;0.655650447875237;0.574675324675324;0.623746701846965;0.227187876344255;0.494791666666666;0.641358591760069;0.574596774193548;0.627596439169139;0.254743890799697;0.500801282051282;0.660279808811467;0.573394495412844;0.647668393782383;0.346819779191576;0.600511073253833;0.691171840691892;0.589464882943143;0.69220904135941
content-SentenceTransformers;0.24275602575225;0.46950354609929;0.661375847415983;0.624528301886792;0.62816353017521;0.39047015155507;0.686015831134564;0.702133788284947;0.586907449209932;0.703921568627451;0.324975182375753;0.466847090663058;0.728846598904114;0.646067415730337;0.688734650293646;0.285549035218189;0.478260869565217;0.689790645639935;0.636655948553054;0.656037637219027;0.281126227440708;0.415512465373961;0.727745982486886;0.618556701030927;0.674006444683136;0.258859259299502;0.491353001017294;0.661635757466811;0.645721925133689;0.63150289017341;0.282815473593138;0.480552070263488;0.687921451168098;0.621753246753246;0.658575197889182;0.284518136013775;0.524296675191815;0.668508148456261;0.619959677419354;0.653189910979228;0.280355586908657;0.508758568164508;0.672775056512494;0.612844036697247;0.654468911917098;0.370156268484327;0.612605042016806;0.702189226145727;0.60953177257525;0.702468739980763
\citet{sharma2021identifying};0.198949243179162;0.37417943107221;0.683248864010121;0.647727272727272;0.594218415417558;0.0464301674462484;0.480701754385964;0.534455569705641;0.22986577181208;0.556124314442413;0.156678338579777;0.291845493562231;0.72562348532311;0.517110266159695;0.637301587301587;0.285765666556107;0.417094017094017;0.72275804903217;0.683473389355742;0.648062015503876;0.280158256476084;0.339393939393939;0.777706207065099;0.682926829268292;0.663900414937759;0.350703212964452;0.441002949852507;0.750744821182272;0.810298102981029;0.643084260731319;0.297328068232364;0.415162454873646;0.735695709618955;0.66860465116279;0.666158536585365;0.217912848243826;0.482885085574572;0.644252325333806;0.524568393094289;0.636744186046511;0.265419127809062;0.501012145748987;0.671267407051895;0.554311310190369;0.661987860394537;0.186861183935358;0.49741468459152;0.618759741755887;0.470185728250244;0.622752293577981
\textit{FacTweet} \citep{ghanem2020factweet};0.061997990097399897;0.4391807379612255;0.5888573997569665;0.1160377358490565;0.6476314081765084;0.34731074547448243;0.6875167865349605;0.7503141581654436;0.46188693095492256;0.7008756694167024;0.22545062158407816;0.592034376603386;0.7619157791755145;0.47596335118015193;0.6653136183114905;0.2507358672680114;0.590245645073489;0.751020993915986;0.48245288074581855;0.659126757890838;0.2694262970792194;0.627801097836616;0.7852104513291744;0.47639606236189835;0.7024649131291325;0.2932300809708055;0.4709063265861845;0.709246872727864;0.623507681769253;0.6436580362685165;0.23934225938615308;0.412429378531073;0.6881769888626775;0.45980449406708385;0.6853392859670985;0.3447456943145455;0.4838905282132825;0.721756119520475;0.781274154900546;0.6499934752143246;0.3038201434989508;0.602159286210553;0.742294329723115;0.4683921574950416;0.7015176685350075;0.34161417130670996;0.6558820956879206;0.7514417916959519;0.4666332074518113;0.7108392250193215
\citet{shrestha2021characterizing};0.159984126357873;0.451388888888888;0.664233955854317;0.246212121212121;0.702355460385439;0.264181402918192;0.532228360957642;0.712600685715249;0.333333333333333;0.73792524149517;0.162968296362532;0.411552346570397;0.698963566035815;0.24;0.736551030668677;0.177864282325364;0.433789954337899;0.695306816366241;0.258855585831062;0.730428863172226;0.173079406313446;0.415584415584415;0.704242330075558;0.253680634201585;0.739083846772033;0.180977011414625;0.435114503816793;0.699135435061364;0.258152173913043;0.734301675977653;0.18165854629219;0.434561626429479;0.697236863454587;0.265116279069767;0.731184870706291;0.200292447301366;0.461977186311787;0.693366133460929;0.288598574821852;0.724375;0.201342652594403;0.468599033816425;0.690858739369377;0.287549407114624;0.722214880401744;0.232164979367445;0.498225691980127;0.702939809891765;0.309251101321585;0.731373243594285
\textit{CheckerOrSpreader} \citep{giachanou2022impact};-0.0410535487210544;0.540983606557377;0.484558504071475;0.152073732718894;0.427027027027027;0.121510779426989;0.532066508313539;0.572076821257301;0.337095560571858;0.583333333333333;0.105425050040823;0.357522123893805;0.635370161575141;0.378277153558052;0.628937533368926;0.018773331420908;0.657992565055762;0.553934050120643;0.597972972972973;0.536263736263736;0.0150764484884995;0.573333333333333;0.51606159074015;0.417475728155339;0.495890410958904;-0.0205103202805489;0.568627450980392;0.501689470355205;0.608391608391608;0.508064516129032;0.0225857051723046;0.608490566037735;0.529870660425501;0.457446808510638;0.501057082452431;0.0981429759684717;0.527522935779816;0.602460138863465;0.115927419354838;0.636498516320474;0.0409375473802359;0.525510204081632;0.530371140431488;0.147353361945636;0.533513879485443;0.0777389473894521;0.584444444444444;0.544971642943837;0.316486161251504;0.525157232704402
\citet{hamdi2020hybrid};0.124775369930083;0.451612903225806;0.65563696632413;0.159090909090909;0.707708779443254;0.313449048021297;0.565610859728506;0.731321125799089;0.384467512495194;0.751259974800504;-0.0669732861139552;0.187763713080168;0.612087757260748;0.187368421052631;0.61236802413273;0.32645614605122;0.765853658536585;0.783124851991141;0.213896457765667;0.787270251872021;0.388779274940983;0.644486692015209;0.786402164332085;0.383918459796149;0.80417894454862;0.27026436464209;0.759090909090909;0.774682311432372;0.151268115942029;0.77877094972067;0.232742416175186;0.731481481481481;0.761950883055249;0.122480620155038;0.770358934774218;0.365289045069343;0.556910569105691;0.754414073593416;0.488123515439429;0.763125;0.422327686008446;0.590215675960021;0.773777922251039;0.554347826086956;0.777851195982555;0.27285378814101;0.587901701323251;0.726774342567818;0.274008810572687;0.753926083362852
\citet{kumar2023autoencoder};0.0784327173918782;0.408268733850129;0.584996419640972;0.298113207547169;0.609993510707332;0.132055415438786;0.577651515151515;0.587791500522369;0.229495861550037;0.592483660130719;0.139971791875833;0.428104575163398;0.653093822160299;0.245318352059925;0.691404164442071;0.0984284597173674;0.414392059553349;0.606242512946863;0.268488745980707;0.638787245164662;0.156748788834164;0.405247813411078;0.676632735390086;0.286597938144329;0.704618689581095;0.131986372113569;0.429629629629629;0.601056199993147;0.542780748663101;0.57562620423892;0.08175342720104;0.409230769230769;0.600322088479055;0.21590909090909;0.643799472295514;0.154440512873369;0.528183716075156;0.615711515707179;0.255040322580645;0.642062314540059;0.0531766953711297;0.421333333333333;0.573470888264589;0.144954128440366;0.62791450777202;0.128860359031914;0.573770491803278;0.612859856361664;0.146321070234113;0.630971465213209
\citet{lampridis2022manifesto};0.227857884732447;0.450704225352112;0.65742141293404;0.664150943396226;0.606099935107073;0.535801949577011;0.792626728110599;0.775602352986927;0.647103085026335;0.773202614379085;0.282521640440964;0.437257438551099;0.712178332963605;0.632958801498127;0.663107314468766;0.301257800359408;0.478359908883826;0.698680908678298;0.67524115755627;0.654992158912702;0.318067943820924;0.428383705650459;0.744311378417706;0.672164948453608;0.680988184747583;0.349583952327981;0.543915343915343;0.703318909710511;0.687165775401069;0.679672447013487;0.319224222831655;0.5;0.704329345429573;0.649350649350649;0.674934036939314;0.362163087400314;0.566213921901528;0.705067535659853;0.672379032258064;0.689910979228486;0.397187681487263;0.57338403041825;0.726796955714787;0.691743119266055;0.709520725388601;0.512025315701904;0.713527851458886;0.769508856435425;0.674749163879598;0.771401090092978
